CombinacionID,PatronEolica,CostoTotal,SolucionValida,HorasCriticas
387,000000000000000110000011,112.50,SI,21
388,000000000000000110000100,120.00,SI,22
389,000000000000000110000101,117.50,SI,21
390,000000000000000110000110,112.50,SI,21
391,000000000000000110000111,108.50,SI,20
392,000000000000000110001000,120.00,SI,22
393,000000000000000110001001,117.50,SI,21
394,000000000000000110001010,120.00,SI,21
395,000000000000000110001011,112.50,SI,20
396,000000000000000110001100,112.50,SI,21
397,000000000000000110001101,110.00,SI,20
398,000000000000000110001110,112.50,SI,20
399,000000000000000110001111,103.50,SI,19
400,000000000000000110010000,120.00,SI,22
401,000000000000000110010001,117.50,SI,21
402,000000000000000110010010,120.00,SI,21
403,000000000000000110010011,112.50,SI,20
404,000000000000000110010100,120.00,SI,21
405,000000000000000110010101,117.50,SI,20
406,000000000000000110010110,112.50,SI,20
407,000000000000000110010111,108.50,SI,19
408,000000000000000110011000,112.50,SI,21
409,000000000000000110011001,110.00,SI,20
410,000000000000000110011010,112.50,SI,20
411,000000000000000110011011,105.00,SI,19
412,000000000000000110011100,112.50,SI,20
413,000000000000000110011101,110.00,SI,19
414,000000000000000110011110,103.50,SI,19
415,000000000000000110011111,98.50,SI,18
416,000000000000000110100000,120.00,SI,22
417,000000000000000110100001,117.50,SI,21
418,000000000000000110100010,120.00,SI,21
419,000000000000000110100011,112.50,SI,20
420,000000000000000110100100,120.00,SI,21
421,000000000000000110100101,117.50,SI,20
422,000000000000000110100110,112.50,SI,20
423,000000000000000110100111,108.50,SI,19
424,000000000000000110101000,120.00,SI,21
425,000000000000000110101001,117.50,SI,20
426,000000000000000110101010,120.00,SI,20
427,000000000000000110101011,112.50,SI,19
428,000000000000000110101100,112.50,SI,20
429,000000000000000110101101,110.00,SI,19
430,000000000000000110101110,112.50,SI,19
431,000000000000000110101111,103.50,SI,18
432,000000000000000110110000,112.50,SI,21
433,000000000000000110110001,110.00,SI,20
434,000000000000000110110010,112.50,SI,20
435,000000000000000110110011,105.00,SI,19
436,000000000000000110110100,112.50,SI,20
437,000000000000000110110101,110.00,SI,19
438,000000000000000110110110,105.00,SI,19
439,000000000000000110110111,101.00,SI,18
440,000000000000000110111000,112.50,SI,20
441,000000000000000110111001,110.00,SI,19
442,000000000000000110111010,112.50,SI,19
443,000000000000000110111011,105.00,SI,18
444,000000000000000110111100,103.50,SI,19
445,000000000000000110111101,101.00,SI,18
446,000000000000000110111110,98.50,SI,18
447,000000000000000110111111,93.50,SI,17
448,000000000000000111000000,112.50,SI,22
449,000000000000000111000001,110.00,SI,21
450,000000000000000111000010,112.50,SI,21
451,000000000000000111000011,105.00,SI,20
452,000000000000000111000100,112.50,SI,21
453,000000000000000111000101,110.00,SI,20
454,000000000000000111000110,105.00,SI,20
455,000000000000000111000111,101.00,SI,19
456,000000000000000111001000,112.50,SI,21
457,000000000000000111001001,110.00,SI,20
458,000000000000000111001010,112.50,SI,20
459,000000000000000111001011,105.00,SI,19
460,000000000000000111001100,105.00,SI,20
461,000000000000000111001101,102.50,SI,19
462,000000000000000111001110,105.00,SI,19
463,000000000000000111001111,96.00,SI,18
464,000000000000000111010000,112.50,SI,21
465,000000000000000111010001,110.00,SI,20
466,000000000000000111010010,112.50,SI,20
